Keyword,Count,Timestamps
backward,0,[]
bed,0,[]
bird,0,[]
blue,0,[]
cat,0,[]
close,0,[]
dark,0,[]
dog,0,[]
down,0,[]
eight,0,[]
follow,0,[]
forward,0,[]
four,0,[]
go,0,[]
goodbye,0,[]
green,0,[]
happy,0,[]
house,0,[]
hello,0,[]
jump,0,[]
learn,0,[]
left,0,[]
marvin,0,[]
morning,0,[]
night,0,[]
light,0,[]
nine,0,[]
no,0,[]
off,0,[]
on,0,[]
one,0,[]
open,0,[]
red,0,[]
run,0,[]
slow,0,[]
start,0,[]
stop,0,[]
turn,0,[]
two,0,[]
up,0,[]
walk,0,[]
wow,0,[]
yellow,0,[]
yes,0,[]
zero,0,[]
